Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,exposure,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,LINE,Organism,Platform,ReleaseDate,Sample Name,sex,source_name,SRA Study
SRR16502371,RNA-Seq,125,2093354750,PRJNA773066,SAMN22426910,975145734,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12705203,10% EtOH in growth media,GSM5641145,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,142,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641145,male,Whole fly,SRP342318
SRR16502372,RNA-Seq,125,2175094750,PRJNA773066,SAMN22426911,1042054163,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX12705204,10% EtOH in growth media,GSM5641146,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,142,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641146,male,Whole fly,SRP342318
SRR16502373,RNA-Seq,125,2029278875,PRJNA773066,SAMN22426904,916279358,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12705205,10% EtOH in growth media,GSM5641147,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,153,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641147,female,Whole fly,SRP342318
SRR16502374,RNA-Seq,125,2029411625,PRJNA773066,SAMN22426905,936450748,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX12705206,10% EtOH in growth media,GSM5641148,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,153,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641148,female,Whole fly,SRP342318
SRR16502375,RNA-Seq,125,2296687125,PRJNA773066,SAMN22426906,1069093034,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12705207,10% EtOH in growth media,GSM5641149,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,153,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641149,male,Whole fly,SRP342318
SRR16502376,RNA-Seq,125,2521001125,PRJNA773066,SAMN22426907,1208118426,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX12705208,10% EtOH in growth media,GSM5641150,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,153,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641150,male,Whole fly,SRP342318
SRR16502377,RNA-Seq,125,2557615375,PRJNA773066,SAMN22426908,1228200721,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX12705209,10% EtOH in growth media,GSM5641151,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,158,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641151,female,Whole fly,SRP342318
SRR16502378,RNA-Seq,125,2057404875,PRJNA773066,SAMN22426912,952920244,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12705210,10% EtOH in growth media,GSM5641152,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,158,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641152,female,Whole fly,SRP342318
SRR16502379,RNA-Seq,125,2275164250,PRJNA773066,SAMN22426913,1065546127,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX12705225,10% EtOH in growth media,GSM5641153,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,158,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641153,male,Whole fly,SRP342318
SRR16502380,RNA-Seq,125,2014763625,PRJNA773066,SAMN22426914,969237350,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12705226,10% EtOH in growth media,GSM5641154,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,158,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641154,male,Whole fly,SRP342318
SRR16502381,RNA-Seq,125,1562591500,PRJNA773066,SAMN22426915,727120988,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12705227,10% EtOH in growth media,GSM5641155,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,176,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641155,female,Whole fly,SRP342318
SRR16502382,RNA-Seq,125,2112422375,PRJNA773066,SAMN22426916,952681575,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12705228,10% EtOH in growth media,GSM5641156,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,176,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641156,female,Whole fly,SRP342318
SRR16502383,RNA-Seq,125,1794302625,PRJNA773066,SAMN22426917,856113932,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX12705229,10% EtOH in growth media,GSM5641157,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,176,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641157,male,Whole fly,SRP342318
SRR16502384,RNA-Seq,125,2218616750,PRJNA773066,SAMN22426918,1058282948,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12705230,10% EtOH in growth media,GSM5641158,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,176,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641158,male,Whole fly,SRP342318
SRR16502385,RNA-Seq,125,1888216375,PRJNA773066,SAMN22426919,875750747,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12705231,10% EtOH in growth media,GSM5641159,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,177,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641159,female,Whole fly,SRP342318
SRR16502386,RNA-Seq,125,2013297625,PRJNA773066,SAMN22426920,907214847,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12705232,10% EtOH in growth media,GSM5641160,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,177,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641160,female,Whole fly,SRP342318
SRR16502387,RNA-Seq,125,2204619000,PRJNA773066,SAMN22426921,1043386960,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX12705233,10% EtOH in growth media,GSM5641161,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,177,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641161,male,Whole fly,SRP342318
SRR16502388,RNA-Seq,125,1947056500,PRJNA773066,SAMN22426922,927948033,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12705234,10% EtOH in growth media,GSM5641162,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,177,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641162,male,Whole fly,SRP342318
SRR16502389,RNA-Seq,125,1932017750,PRJNA773066,SAMN22426923,893655735,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX12705235,10% EtOH in growth media,GSM5641163,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,181,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641163,female,Whole fly,SRP342318
SRR16502390,RNA-Seq,125,2044882000,PRJNA773066,SAMN22426924,920159344,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12705236,10% EtOH in growth media,GSM5641164,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,181,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641164,female,Whole fly,SRP342318
SRR16502391,RNA-Seq,125,2309508750,PRJNA773066,SAMN22426925,1088383802,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12705237,10% EtOH in growth media,GSM5641165,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,181,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641165,male,Whole fly,SRP342318
SRR16502392,RNA-Seq,125,1915490375,PRJNA773066,SAMN22426926,914107881,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12705238,10% EtOH in growth media,GSM5641166,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,181,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641166,male,Whole fly,SRP342318
SRR16502393,RNA-Seq,125,1817408125,PRJNA773066,SAMN22426927,841282865,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12705239,10% EtOH in growth media,GSM5641167,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,195,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641167,female,Whole fly,SRP342318
SRR16502394,RNA-Seq,125,1984300375,PRJNA773066,SAMN22426928,898437615,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX12705240,10% EtOH in growth media,GSM5641168,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,195,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641168,female,Whole fly,SRP342318
SRR16502395,RNA-Seq,125,2368976500,PRJNA773066,SAMN22426929,1124305087,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX12705241,10% EtOH in growth media,GSM5641169,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,195,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641169,male,Whole fly,SRP342318
SRR16502396,RNA-Seq,125,1930513250,PRJNA773066,SAMN22426930,925850542,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12705242,10% EtOH in growth media,GSM5641170,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,195,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641170,male,Whole fly,SRP342318
SRR16502397,RNA-Seq,125,2461308125,PRJNA773066,SAMN22426931,1145063693,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX12705243,10% EtOH in growth media,GSM5641171,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,208,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641171,female,Whole fly,SRP342318
SRR16502398,RNA-Seq,125,1862658000,PRJNA773066,SAMN22426932,842316446,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12705244,10% EtOH in growth media,GSM5641172,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,208,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641172,female,Whole fly,SRP342318
SRR16502399,RNA-Seq,125,2084808875,PRJNA773066,SAMN22426933,973225183,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12705245,10% EtOH in growth media,GSM5641173,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,208,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641173,male,Whole fly,SRP342318
SRR16502400,RNA-Seq,125,2098689625,PRJNA773066,SAMN22426934,1010754966,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12705246,10% EtOH in growth media,GSM5641174,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,208,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641174,male,Whole fly,SRP342318
SRR16502401,RNA-Seq,125,1949688000,PRJNA773066,SAMN22426935,899527373,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12705247,10% EtOH in growth media,GSM5641175,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,217,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641175,female,Whole fly,SRP342318
SRR16502402,RNA-Seq,125,2015780500,PRJNA773066,SAMN22426936,903434789,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12705248,10% EtOH in growth media,GSM5641176,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,217,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641176,female,Whole fly,SRP342318
SRR16502403,RNA-Seq,125,2360805000,PRJNA773066,SAMN22426937,1114242202,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12705249,10% EtOH in growth media,GSM5641177,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,217,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641177,male,Whole fly,SRP342318
SRR16502404,RNA-Seq,125,2006873625,PRJNA773066,SAMN22426938,959424765,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12705250,10% EtOH in growth media,GSM5641178,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,217,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641178,male,Whole fly,SRP342318
SRR16502405,RNA-Seq,125,2037416500,PRJNA773066,SAMN22426939,943748294,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12705251,10% EtOH in growth media,GSM5641179,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,228,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641179,female,Whole fly,SRP342318
SRR16502406,RNA-Seq,125,2096465625,PRJNA773066,SAMN22426940,945116274,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12705252,10% EtOH in growth media,GSM5641180,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,228,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641180,female,Whole fly,SRP342318
SRR16502407,RNA-Seq,125,2332077500,PRJNA773066,SAMN22426941,1097250436,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12705253,10% EtOH in growth media,GSM5641181,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,228,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641181,male,Whole fly,SRP342318
SRR16502408,RNA-Seq,125,2245941125,PRJNA773066,SAMN22426942,1077268767,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12705254,10% EtOH in growth media,GSM5641182,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,228,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641182,male,Whole fly,SRP342318
SRR16502409,RNA-Seq,125,1831471250,PRJNA773066,SAMN22426943,844855214,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12705255,10% EtOH in growth media,GSM5641183,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,229,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641183,female,Whole fly,SRP342318
SRR16502410,RNA-Seq,125,1961871875,PRJNA773066,SAMN22426944,879357090,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12705256,10% EtOH in growth media,GSM5641184,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,229,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641184,female,Whole fly,SRP342318
SRR16502411,RNA-Seq,125,2308803500,PRJNA773066,SAMN22426945,1091923757,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12705257,10% EtOH in growth media,GSM5641185,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,229,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641185,male,Whole fly,SRP342318
SRR16502412,RNA-Seq,125,2376576875,PRJNA773066,SAMN22426946,1133572768,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12705258,10% EtOH in growth media,GSM5641186,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,229,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641186,male,Whole fly,SRP342318
SRR16502413,RNA-Seq,125,1995438250,PRJNA773066,SAMN22426947,930648657,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX12705259,10% EtOH in growth media,GSM5641187,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,239,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641187,female,Whole fly,SRP342318
SRR16502414,RNA-Seq,125,2070355875,PRJNA773066,SAMN22426948,941731210,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12705260,10% EtOH in growth media,GSM5641188,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,239,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641188,female,Whole fly,SRP342318
SRR16502415,RNA-Seq,125,2394021500,PRJNA773066,SAMN22427026,1126488874,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX12705261,10% EtOH in growth media,GSM5641189,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,239,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641189,male,Whole fly,SRP342318
SRR16502416,RNA-Seq,125,2124755000,PRJNA773066,SAMN22427027,1015911349,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12705262,10% EtOH in growth media,GSM5641190,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,239,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641190,male,Whole fly,SRP342318
SRR16502417,RNA-Seq,125,2176416375,PRJNA773066,SAMN22427028,993242296,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12705263,10% EtOH in growth media,GSM5641191,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,280,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641191,female,Whole fly,SRP342318
SRR16502418,RNA-Seq,125,2118023875,PRJNA773066,SAMN22427029,979263950,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX12705264,10% EtOH in growth media,GSM5641192,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,280,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641192,female,Whole fly,SRP342318
SRR16502419,RNA-Seq,125,2019468750,PRJNA773066,SAMN22427030,934289045,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12705265,10% EtOH in growth media,GSM5641193,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,280,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641193,male,Whole fly,SRP342318
SRR16502420,RNA-Seq,125,2061287875,PRJNA773066,SAMN22427031,987493796,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX12705266,10% EtOH in growth media,GSM5641194,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,280,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641194,male,Whole fly,SRP342318
SRR16502421,RNA-Seq,125,2208454500,PRJNA773066,SAMN22427032,1023788505,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12705267,10% EtOH in growth media,GSM5641195,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,287,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641195,female,Whole fly,SRP342318
SRR16502422,RNA-Seq,125,2153256375,PRJNA773066,SAMN22427033,970088560,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12705268,10% EtOH in growth media,GSM5641196,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,287,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641196,female,Whole fly,SRP342318
SRR16502423,RNA-Seq,125,2029057875,PRJNA773066,SAMN22427034,959801976,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12705269,10% EtOH in growth media,GSM5641197,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,287,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641197,male,Whole fly,SRP342318
SRR16502424,RNA-Seq,125,2024462125,PRJNA773066,SAMN22427035,963727008,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX12705270,10% EtOH in growth media,GSM5641198,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,287,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641198,male,Whole fly,SRP342318
SRR16502425,RNA-Seq,125,2028564125,PRJNA773066,SAMN22427036,931617068,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12705271,10% EtOH in growth media,GSM5641199,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,28,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641199,female,Whole fly,SRP342318
SRR16502426,RNA-Seq,125,2035245875,PRJNA773066,SAMN22427037,950264496,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX12705272,10% EtOH in growth media,GSM5641200,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,28,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641200,female,Whole fly,SRP342318
SRR16502427,RNA-Seq,125,2186823375,PRJNA773066,SAMN22427038,1021871622,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX12705273,10% EtOH in growth media,GSM5641201,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,28,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641201,male,Whole fly,SRP342318
SRR16502428,RNA-Seq,125,1915185625,PRJNA773066,SAMN22427039,914961290,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX12705274,10% EtOH in growth media,GSM5641202,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,28,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641202,male,Whole fly,SRP342318
SRR16502429,RNA-Seq,125,2628856125,PRJNA773066,SAMN22427040,1219316528,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX12705275,10% EtOH in growth media,GSM5641203,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,306,Drosophila melanogaster,ILLUMINA,2022-03-18T00:00:00Z,GSM5641203,female,Whole fly,SRP342318
